Review,keyword
굿 확실히 듣던 대로 시보리가 자기주장이 강하네요 어릴 때 이 져지를 입은 형한테 삥뜯긴 기억이 납니다,"형, 어리다, 뜯다, 나다, 져지, 주장, 대로, 듣다"
사이즈 정사이즈로 딱 맞고 시보리도 짱짱해서 좋아요 ! 크게사도 이뻤겠지만 만족합니당  입고 다니면 너무 자주보이는게 단점 ㅜ,"뻤겠, 사이즈, 만족하다, 보이다, 맞다"
L사이즈 구매했다가 너무 커서 S사이즈로 교환했어요 만족합니다 S사이즈도 넉넉해요 이번옷이 크게 나온거같아요 착용감은 부드럽고 좋아요 입고싶었던거라 좋아요,"사이즈, 착용, 감다, 커서, 만족하다, 부드럽다"
파이어버드 갖고 싶었는데 매일 입고다닐 것 같어용,"싶다, 갖다, 파이어버드, 매일"
사이즈도 좀 큰가 했는데 넉넉하니 너무좋구 핏도 이뻐요!!!!,"핏, 사이즈"
입기 편합니다. 좋아요 가성비 좋구요 디자인 좋습니다 ,"편하다, 가성비, 디자인"
역시 아디다스는 항상 실망시키질 않아서 좋아요 엄청 예쁘고 마감도 좋아요,"아디다스, 실망, 마감, 항상"
XL갔다가 L로 교환했는데 교환하길 잘함 흰티에 입어도 묻어나는거 딱히 없는것같음 시보리 많이 조임,"교환, 희다, 티, 가다, 딱하다, 묻다, 시보리, 없다"
갑자기 트랙 위아래로 입고 다니고 싶어서!!! 샀어요 편하다!,"싶다, 갑자기, 아래, 편하다, 트랙"
대박 예쁨 그냥 근본 그 자체 크게 입으니까 넘 예쁨 ㅠ,"그냥, 크게, 자체, 대박, 근본"
"평소에 휘뚜루 마뚜루 입기도 좋고, 포인트 주기도 좋습니다. 재질이 흐물거려서 핏이 이쁜데 밑단 시보리 때매 배 부분이 좀 뜨는게 아쉽네요. 기장은 좀 긴편입니다.","부분, 재질, 흐물거려, 쁜데, 편입, 밑단, 아쉽다, 평소"
깔끔한 기본 아디다스 져지입니다! 총기장이랑 소매 길이도 적당하고 마음에 들어요!,"총기장, 이랑, 적당하다, 지다, 아디다스, 깔끔하다, 길이, 소매"
키 154인데 s도 입어봤거든요 근데 m이 핏이 더 맘에 들더라구요 s도 오버핏인데 시보리 접어입으니 품도 그렇고 기장감이 뭔가 맘에 안들어서.. m으로 바꿨어요 s는 오버핏인데 뭔가.. 딱맞는 오버핏 느낌...? 길이는 s나m이나 지퍼 열먼 겁나 긴데 차피 접어입을거라 상관 안하고 걍 m으로 바꿈! 시보리 접어입으면 기장 ㅂㄹ 안길어요 밑에 시보리가 길고 쪼여서 접어도 절대 안내려옴 근데 팔이 겁나 길어요ㅎ.. 줄넘기 가능할듯? 이상 팔다리 짧고 상체 긴 호빗의 후기~ 비슷한분들 참고하셈~,"기장감, 길다, 접다, 바꾸다, 뭔가, 짧다"
"가을에 입기 좋고, 천 질감, 디자인 다 괜찮네요. 만족합니다.","만족하다, 가을, 질감, 디자인"
배송은 일반 배송이랑 똑같이 왔어요 한사이즈 작게 입으면 더 좋을 거 같긴한데 기다리기 귀찮아서 걍 입어요 너무 귀여움,"배송, 이랑, 귀찮다, 똑같이, 오다, 작다"
초등학생 때 이후로 다시 처음 사네요 그때랑 비슷한 거 같습니다 핏은 훨씬 트렌디하게 나왔네요 야무지게 아무 데나 걸쳐도 예쁜 템입니다 같은 옷 입은 사람 하루에 스무 명 이상 마주치지만요 ..,"초등학생, 하루, 이후, 핏, 걸치다"
매장에서 입어보고 무신사에서 저렴하게 구입했어요 너무 맘에 듭니다,"저렴하다, 매장, 입어보다, 무신, 사, 듭니"
아디다스 트랙탑 다시 유행이여서 매장 사려했더니 가격이 너무 비싸서 무신사로 시켰는데 매장에서 사는거보다 4만원이나 아껴서 좋았습니당 사고싶었던 옷인 만큼 학원 갈때나 놀러갈때 자주 입어요 아직 아침에 입으면 조금 얇아서 춥고 학교나 학원에서 입고 다니면 아주 딱 알맞아용 제가 평소에도 L사이즈 입어서 L사이즈 샀는데 작을줄 알았는데 생각보다 컸어용 안에 맨투맨 입고 위에 트랙탑 입으면 아주 딱 !! 알맞습니당 저랑 키 비슷하고 몸무게 비슷하신 분들은 L 사이즈가 제격입니다 ..!! 아디다스 트랠탑 꼭 사세요 안 사면 후회해요 ㅠㅠ,"트랙, 탑, 비싸다, 사면, 사이즈, 가격, 매장"
리뷰 보니깐 많이 크다고 해서 걱정했었는데 넉넉하게 잘 맞아요! 안에 얇은 기모도 있어서 따뜻하구 좋아요👍🏻,"따뜻하다, 크다, 걱정, 맞다, 보, 니깐"
사이즈 젤 작은건데 기장이 길어서 더 큰 사이즈하면 안될거같아요 첨엔 애매하게 길까봐 걱정했는데 밑에 시보리 땜에 저절로 올라가서 괜찮아요 예쁩니다,"사이즈, 올라가다, 애매하다, 걱정, 저절로, 건데"
갑자기 파이어버드 꽂혀서 샀는데 길이랑 품 다 괜찮아요!! 아래 쪼리가 너무 짱짱해서 잠그면 핏이 좀 이상한데 늘어나겠죠 머 ,"쪼리, 갑자기, 늘어나다, 이상하다, 길이, 꽂히다, 잠그다"
안의 살짝 기모같은 내용이 있어서 따뜻하고 재질은 뭠가 보풀이 잘 일어날 것 같은 재질이에요,"재질, 이에요, 보풀, 따뜻하다, 일어나다, 뭠"
Xl가 정사이즈였던거같습니다 좀 오버핏이네요. 제 생각엔 져지는 레귤러핏으로 입어야 이쁩니다. 여긴 다들 오버핏 매니아들만 있나봅니다. 저와 비슷한 신체사이즈이신분 xl 가세요. 너무낙낙해요 상체근육형인데도요.,"근육, 형, 인데, 사이즈, 이신, 신체, 매니아"
얇게 기모같은게 있는듯 하지만 얆고 겨울빼고는 어찌저찌 입을수 있을거 같은디 밑단이 너무 짱짱해서 지퍼 잠그면 핏이 이상해서 풀어서 입어야되는게 단점이고 팔부분이 김,"부분, 풀다, 단점, 이고, 얇다, 잠그다, 상해"
