Processed_Review,keyword
일단 너무너무 예쁘고 가성비 갑에다가 유행하는 러블리 코어 그리고 발레 코어에 꼭 맞는 아이템이에요 레알 너무 예뻐요 저만 입게 사지 마세요 다들,"유행, 아이템, 가성비, 말다, 러블리, 갑, 코어"
리본이랑 레이스가 너무 귀여운 치마에요 치마가 많이 짧다고 해서 걱정했는데 저는 키가 작아서 길이도 딱 맞고 안에 속바지도 있어서 너무 편했어요 처음 왔을 때는 구김이 좀 있었는데 스팀 한번 하니까 하루 종일 입고 다녀도 구김이 안 가더라고요 아무 티에도 잘 어울리고 딱 붙지 않아서 여름에도 시원하게 잘 입을 거 같아요,"치마, 어울리다, 가다, 치마, 리본, 종일, 속바지, 길이"
우와 요새 유행하는 느낌의 치마 싸게 잘 샀아요 제가 키가 작은 편인데도 짧아서 엉덩이 다 보일 걱 같아요 레이어드 용으로 입어야겠어요,"엉덩이, 유행, 펴다, 레이어드, 보이다, 키, 작다"
키인데 길이가 안 길어서 좋아요 너무 퍼지 지도 않고 밴딩도 편하고 디자인이 너무 예뻐요,"키, 밴딩, 길이, 디자인, 편하다, 퍼지다"
생각보다 더 짧아서 팬츠랑 레이어드해서 입어요 실물이 더 귀엽고 뽀짝 해요,"레이어드, 팬츠, 실물, 짧다, 뽀짝, 귀엽다"
같이 산 신문 블라우스랑 입었는데 찰떡이네요 추천,"블라우스, 추천, 신문, 찰떡"
요즘 유행하는 레이스 스커트 다 좋고 예쁜데 길이가 너무 짧아서 아쉬워요 안에 바지 내장이라 그래도 다행,"스커트, 유행, 내장, 다행, 레이스, 길이, 바지"
길이가 상당히 짧아요 전 키가 작아서 괜찮아요 키 크신 분들은 비추입니다 블랙 화이트 둘 다 구입했어요 리본이 포인트라 크롭 반팔에 어울릴 듯,"크다, 크롭, 어울리다, 키, 비추다, 상당하다, 리본, 포인트, 길이, 팔"
모델분 입으신 것처럼 상의를 그냥 무난한 티셔츠로 입어도 이 치마가 캐리 해주는 것 같아요 너무 튀지 않으면서도 꾸민 느낌이라 좋습니다,"티셔츠, 무난, 상의, 치마, 캐리, 모델, 해주다"
세탁 처음에 하고 나서 밴드가 말려서 아무리 해봐도 펴지지도 않고 입으면 안 그래도 짧았던 치마가 밴드 말린 것 때문에 엉덩이가 보일 정도가 됐어요 진짜 절대 사지 마세요 보세에서도 이 정도 퀄 나오기 힘든데 생돈 날렸네요,"말리다, 엉덩이, 말리다, 나오다, 생돈, 보이다"
세일할 때 싸게 잘 샀어요 리본이 귀엽고 이뻐요 키작녀한테 어울려요,"키작녀, 어울리다, 세일, 리본, 싸다, 귀엽다"
아니 이거 너무 이쁨요 이런 스타일 안 좋아하는데 헉함 그렇지만 뼈 말라나 진짜 마른 사람이 입으면 해 이쁠 것 같음요 이 가격에 안 살 이유 없어요 네 별로 안 짧음,"말르다, 아니다, 마르다, 이렇다, 사람, 이유, 스타일"
원래 제가 입으려고 샀는데 키이라서 너무 짧아서 cm 딸 입혔네요 근데 아이돌 같고 너무 이뻐요 딸이 마음에 들어 합니다 키 cm한테도 치마 길이는 많이 짧고요 안에 속바지가 붙어있는 스타일이지만 그것도 벙벙해서 그래도 없는 것보단 낫네요 암튼 이쁜 건 넘넘 이뻐요,"스타일, 벙벙하다, 키이라, 속바지, 테, 아이돌, 넘다 넘다, 길이"
리본이 조그맣고 귀엽고 주름이나 레이스가 과하지 않아서 입을 맛이 나요,"레이스, 리본, 주름, 맛, 귀엽다, 조그맣다"
