Review,Processed_Review,keyword
"저 날 술을 좀 마셔서 누워있긴 한데…
어깨부터 발끝까지 전신사진이 나오긴 했네요.
바지 예쁘고 편합니다.",저 날 술을 좀 마셔서 누워있긴 한데 어깨부터 발끝까지 전신사진이 나오긴 했네요 바지 예쁘고 편합니다,"마시다, 눕다, 어깨, 발끝, 사진, 나오다, 바지, 편하다"
"옷 줄어든다는 후기 보고 큰 사이즈로 구매했는데 너무 길어서 기장 줄였어요ㅠ 여성분들은 제일 작은 사이즈 구매하시는게 좋을 거 같아요,, 핏은 진짜 마음에 듭니단",옷 줄어든다는 후기 보고 큰 사이즈로 구매했는데 너무 길어서 기장 줄였어요 여성분들은 제일 작은 사이즈 구매하시는 게 좋을 거 같아요 핏은 진짜 마음에 듭니다,"사이즈, 보고, 여성, 줄이다, 제일, 후기, 줄어들다, 분들, 작다, 기장"
진짜 예뻐요 벌룬핏이면서 힙하고 기장이 제가 키가작아서 딱 맘에들어요,진짜 예뻐요 벌룬 핏이면서 히프하고 기장이 제가 키가 작아서 딱 맘에 들어요,"핏이면, 벌룬, 히프, 하고, 작다, 기장"
아부지 강아지랑 산책하실때 입으실 편한 옷 사드렸어용ㅎㅎ,아버지 강아지랑 산책하실 때 입으실 편한 옷 사드렸어요,"산책, 아버지, 강아지, 드리다, 편하다"
"한껏 꾸밈없는 날 것 임에도.
이렇게나 멋지다니...
내 잘생긴 얼굴과 훌륭한 바디를 초라하게 만든
스웻트 판츠.",한껏 꾸밈없는 날 것임에도 이렇게나 멋지다니 내 잘생긴 얼굴과 훌륭한 보디를 초라하게 만든 스웨트 판치,"잘생기다, 훌륭하다, 판치다, 초라하다, 꾸밈, 보디, 것임, 한껏, 멋지다, 얼굴"
"회색 기본 츄리닝 오랫동안 찾고 있었는데 너무 좋아요,,찾았다 내 사랑,,내가 찾던 사랑,,",회색 기본 운동복 오랫동안 찾고 있었는데 너무 좋아요 찾았다 내 사랑 내가 찾던 사랑,"찾다, 사랑, 오랫동안, 기본, 운동복, 회색"
"실측과 여러후기들 참고하여 M을 구매하였습니다 같은 날에 온 친구의 L사이즈를 참고 하여 후기 작성하겠습니다

일단 워낙 통와이드로 나온 상품이라 S 사이즈를 가도 충분히 맞았을것 같고 L 사이즈는 제게 와이드한 핏으로 떨어지는것보단 벌룬핏에 가까운 느낌 있어요 너무 박시한데다 앞쪽에 턱이 잡혀있어 너무 많은 여유 부분은 둥글게 떨어지는 느낌이 강했습니다 전신 거울을 통해 옆모습을 보면 부해 보이기도 하고 밑위가 워낙 긴 상품인데다 기장이 어느정도 나가다보니 일정 높이까지 올려입지 않는다면 엉덩이가 커보여서 호불호가 갈릴순 있지만 자연스러운 느낌이라 대부분 적응하실거 같아요

그에반해 M 사이즈는 전체적으로 통은 크지만 일자로 떨어지며 편했고 혹여나 세탁한들 여유있는 부분이 커서 수축 하더라도 만족스럽게 입을것 같습니다 제가 볼땐 정사이즈가셔도 무난하다고 봐요 요즘은 체격이 불어 30~31간혹 작게 나온 바지는 드물게 32도 입는데 제가 M 사이즈 입어도 밴딩이 잘 잡아주고 불편한 느낌 없이 좋더라구요

혹시라도 M 사이즈를 입으시고 싶은데 건조기를 돌릴시 옷이 수축하는것을 감안하신다면 본래 사이즈보다 한사이즈 업하여 구매하시는것도 좋을것 같습니다

두께는 한여름을 제외하면 모두 활용하실수 있을만한 두께감입니다 일교차가 심한 간절기에도 홀겹으로 입으셔도 무방하실거구요 터치감은 면과 폴리 혼방소재라 부드러우나 그렇다고 너무 흐물흐물 하지 않고 도톰한 감촉이라 보시면 될것 같습니다

마지막으로 다른 제로 상품들을 토대로 수축 되는 정도를
말씀 드리자면 저는 건조기를 사용하지 않고 일반 드럼 세탁을 했으며 보풀이 들생기도록 뒤집어 세탁하는편입니다 혼방 소재라한들 코튼함량이 큰만큼 줄어드는 현상을 피해갈순 없지만 형태보존이 잘돼는편이에요

구매시 도움이 되셨길 바랍니다",,nan
"아메카지나 시티보이룩 뭐 이런 느낌 좋아하구, 핀턱 와이드 팬츠 꾸안꾸로 입는거 좋아하면 정말 만족하는 제품일것 같아요 ! 고민 많이 하다가 구매했는데 배송받고 입어본 다음에 왜 일찍 안시켰는지 후회했어요.. 존예입니다😯
깔별로 구매하고싶어요 !
아! 그리고 평소 크게 입으시는 분들도 그냥 정싸이즈 시켜도 될것 같아요 ! 
원래 L입는데 품절되는 바람에 M시켰는데 L시켰으면 큰일 날뻔 했습니더.... 허허",아메까지나 시티 보이 룩 뭐 이런 느낌 좋아하고 핀턱 와이드 팬츠 꾸안꾸로 입는 거 좋아하면 정말 만족하는 제품일 것 같아요 고민 많이 하다가 구매했는데 배송받고 입어본 다음에 왜 일찍 안 시켰는지 후회했어요 존 예입니다 깔 별러 구매하고 싶어요 아 그리고 평소 크게 입으시는 분들도 그냥 정 사이즈 시켜도 될 것 같아요 원래 L 입는데 품절되는 바람에 M 시켰는데 L시켰으면 큰일 날뻔했습니다 허허,"좋아하다, 일찍, 품일, 시티, 예입, 아메, 까지나, 허허, 큰일, 별러"
그레이도 예쁩니다 그냥 실루엣이 예뻐서 두루두루 입어주기 좋네요~~굳굳,그레이도 예쁩니다 그냥 실루엣이 예뻐서 두루두루 입어주기 좋네요굳굳,"굳다, 실루엣, 그레이, 그냥"
"제가 입으니까 그저 찐ㄸr 
모델들에게 속지 마세요",제가 입으니까 그저 찐 r 모델들에게 속지 마세요,"찌다, 속지, 모델, 말다"
