Review,Processed_Review,keyword
"무난하지만 이쁜.. 
데일리하게 코디하기 좋아요 

재질도 시원하고 핏도 이쁘고 
허리에 단추로 조절도 할 수 있어서 좋슴니다 

오프라인에서 입어보고 s m 중 사이즈를 고민했는데 
키 160후반 몸무게 55 아래이신분은 s 추천드려요 !
핏이 슬림해보이는게 좋다! 하시면 스몰
넉넉하게 입는게 좋다! 하시면 미듐 추천이요 :)",무난하지만 이쁜 데일리 하게 코디하기 좋아요 재질도 시원하고 핏도 이쁘고 허리에 단추로 조절도 할 수 있어서 좋습니다 오프라인에서 입어보고 s m 중 사이즈를 고민했는데 키 후반 몸무게 아래 이 신분은 s 추천드려요 핏이 슬림 해 보이는 게 좋다 하시면 스몰 넉넉하게 입는 게 좋다 하시면 미디엄 추천이요,"추천, 신분, 아래, 드리다, 몸무게, 후반, 미디엄, 슬림, 코디, 스몰"
소재가 가을에 입기 딱 좋은 것 같아요 핏도 예뻐요 !,소재가 가을에 입기 딱 좋은 것 같아요 핏도 예뻐요,"가을, 소재"
기본 카고치마로 체고예요 뒷밴딩 짱싫어해서 이걸로 골라봤는데 역시 무탠다드 실망시키질 않네요 박음질 퀄리티도 너무 좋고 원단이나 주머니도 깔끔하니 좋아요! 색도 어디에나 잘어울립니다! 만족만족;),기본 카고 치마로 체고예요 뒷밴딩 짱 싫어해서 이걸로 골라봤는데 역시 무탠다드 실망시키질 않네요 박음질 퀄리티도 너무 좋고 원단이나 주머니도 깔끔하니 좋아요 색도 어디에나 잘 어울립니다 만족 만족,"만족, 에나, 박음질, 뒷밴딩, 실망, 싫어하다, 고르다, 체고, 깔끔하다, 퀄리티"
저 살 많이 쪄서 안맞으면 어쩌나 싶었는데 오히려 허리가 많이 남아요! 77분들까지 완젼 가능할것 같아요!! 질은 모 넘 좋네용! 여름에도 입을정도로 가벼운 소재에요,저 살 많이 쪄서 안 맞으면 어쩌나 싶었는데 오히려 허리가 많이 남아요 분들까지 완전 가능할 것 같아요 질은 모 너무 좋네요 여름에도 입을 정도로 가벼운 소재예요,"어쩌나, 찌다, 남아, 가볍다, 가능하다, 소재, 맞다, 여름, 허리"
톤다운색 너무예쁘고 가성비 굿입니다 너뮤잘삿어요,톤 다운 색 너무 예쁘고 가성비 굿입니다 너뮤잘삿어요,"다운, 가성비"
저정말 돼지인데 커요....커서 핏이별루에여 더부해보임 근데 막 엄청별로는 아니라 걍입어여 저랑비슷하시면 꼭 s사세여,저 정말 돼지인데 커요 커서 핏이 별로에 여 더 부해 보임 근데 막 엄청 별로는 아니라 그냥 입어요 저랑 비슷하시면 꼭 s 사세여,"별로, 돼지, 부다, 보임, 그냥, 근데, 커서, 아니다, 인데, 크다"
"S사이즈 허리가 크더라구요 보통 엠ㅇ입는데 실측보고 엣
스샀는데 너무 잘샀어요 얇아서 여름에 제격인듯해용",S사이즈 허리가 크더라고요 보통 엠 입는데 실측 보고 엣 스샀는데 너무 잘 샀어요 얇아서 여름에 제격인듯해요,"듯해, 실측, 제격, 보통, 보고, 얇다, 여름, 크다, 사이즈, 허리"
"아주아주 만족스러워요
너무 깔롱부리지 않은 기본 카고 롱스커트입니다
보통 키이신 분들은 발목까지 올듯 싶어요",아주아주 만족스러워요 너무 칼롱 부리지 않은 기본 카고 롱스커트입니다 보통 키이신 분들은 발목까지 올듯싶어요,"칼롱, 부리, 아주아주, 이신, 기본, 만족스럽다, 보통, 스커트, 오다, 발목"
역시 무탠다드 길지만 제 키에 맞는 길이의 치마를 찾았는데 딱 좋아요ㅠㅠ옹엉ㅠㅠ색감도 넘 맛돌릐구요 다른색도 사구싶아요🤍 허리가 조금 커서 핏이 저한텐 어벙한 느낌이 있지만 엑스스몰은 작을것 같아서 스몰했지만 그부분만 조금 슬프네요흙,역시 무탠다드 길지만 제 키에 맞는 길이의 치마를 찾았는데 딱 좋아요옹엉색감도 너무 맛돌릐구요 다른 색도 사구 싶아요 허리가 조금 커서 핏이 저한텐 어벙한 느낌이 있지만 엑스스몰은 작을 것 같아서 스몰 했지만 그 부분만 조금 슬프네요 흙,"스몰, 슬프다, 맛돌릐구, 어벙, 엑스, 찾다, 부분, 색도, 커서, 색감"
생각보다 허리가 컸어요! 바스락 거리는 재질인데 딱 발목까지 와서 너무 예쁘네요,생각보다 허리가 컸어요 바스락거리는 재질인데 딱 발목까지 와서 너무 예쁘네요,"거리, 바스락, 오다, 발목, 인데, 재질, 크다, 허리"
